system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
1_NA,NA,NA,NA,1,NA,NA,NA,107.11534976516243,110.70086622579136,127.74427949737448,112.61032666278012,114.32612200538883,115.95090439090127,117.43160408582577,119.08467518254947,120.58931657730521,122.31735499326052,124.2977119201868,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,China,4020050470,590570.392057823,,33.17842003195272,2,86.39186370211848,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,Argentina,6030017370,392345.947510473,,-36.37741812785376,3,-61.96125808545899,337.1846107699197,411.0229233265366,712.6240271977,429.04447830556546,445.0124162683549,472.84311787556146,515.0329927293974,532.9820084264304,556.9716933763922,583.0754719645561,603.0459886528217,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,Brazil,6030011790,574161.380435507,,-16.498187506777313,3,-41.12546788656452,1312.895720019931,1337.8641465959552,2179.200374435287,1337.8641465959552,1337.8641465959552,1341.550604818297,1341.550604818297,1349.6376887151173,1786.3092457444975,2170.327933502502,2174.0347881135804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,Canada,7030021430,400676.874974632,,56.85067278895671,3,-102.148421824661,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,India,4030029530,316063.383896837,,19.528640209897958,3,75.70074178318879,225.8580785507558,340.13799058874656,1916.2461549000313,420.0557463964389,500.0747281236044,548.0271847216733,588.0094007660949,619.9677099166167,652.0005323714275,683.9731409462823,739.9059817028252,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,Mozambique,1030011530,4407.4168599865,,-18.29553202259123,3,36.38276057117045,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,Angola,1040019180,22818.166207449,,-11.739515642619544,4,15.218116307556416,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,Angola,1040019270,22800.0409163377,,-10.527082062672863,4,14.704236892658637,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,Angola,1040019280,3199.46760539728,,-9.686161459872338,4,13.500785068015904,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,Angola,1040019190,1076.87307554267,,-10.574395979976885,4,13.8087335684084,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,Argentina,6040017380,86124.7691809491,,-36.13588214244042,4,-59.993462823173445,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,Argentina,6040017530,17427.5557639906,,-36.941233854080814,4,-58.19489204106952,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001931,Argentina,6040017540,17661.5402086678,,-37.563001638502215,4,-57.72916156577867,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001932,Argentina,6040017980,11741.8432237562,,-38.41879694957459,4,-59.8725258744565,531.6118074899285,535.6767752927681,558.2861209522536,537.3121500144119,538.5676421245672,539.6810165311359,541.0539762144829,542.4320550918867,544.7034980535692,550.594974508605,553.9630990237719,"{""type"":""MultiPoint"",""coordinates"":[]}"
